Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Łucja Andrzejewska,18,1,A,,,
Łucja Andrzejewska,18,2,A,,,
Łucja Andrzejewska,18,3,B,,,
Łucja Andrzejewska,18,4B,B,,,
Łucja Andrzejewska,18,5B,C,,,
Łucja Andrzejewska,18,6B,A,3,,
Łucja Andrzejewska,18,7B,B,1,,
Łucja Andrzejewska,18,8B,C,,,
Łucja Andrzejewska,18,9B,E,,,
Łucja Andrzejewska,18,10B,A,,,
Łucja Andrzejewska,18,11B,A,,,
Łucja Andrzejewska,18,12B,N,,,
Łucja Andrzejewska,18,13B,C,,,
Łucja Andrzejewska,18,13B,E,,,
Łucja Andrzejewska,18,13B,G,,,
Łucja Andrzejewska,18,13B,I,,,
Łucja Andrzejewska,18,13B,J,,,
Łucja Andrzejewska,18,13B,K,,,
Łucja Andrzejewska,18,14B,,,"Brak wakacji, ferii, wyjazdów wypoczynkowych w ogóle. Brak lepszej edukacji dla dzieci, ciągłe oszczędzanie na wszystkim. Ogólna frustracja z życia.",
Łucja Andrzejewska,18,15B,A,,,
Łucja Andrzejewska,18,15B,C,,,
Łucja Andrzejewska,18,15B,G,,,
Łucja Andrzejewska,18,16B,,,Bo są to małe sumy od czasu do czasu i zwykle są rozdzielone zanim zarobione.,
Łucja Andrzejewska,18,17B,A,,trudno powiedzieć,
Łucja Andrzejewska,18,17B,B,,ocena pozytywna,
Łucja Andrzejewska,18,17B,C,,nie korzystałam/łem,
Łucja Andrzejewska,18,17B,D,,nie korzystałam/łem,
Łucja Andrzejewska,18,17B,E,,nie korzystałam/łem,
Łucja Andrzejewska,18,17B,F,,ocena pozytywna,
Łucja Andrzejewska,18,17B,G,,ocena pozytywna,
Łucja Andrzejewska,18,17B,H,,nie korzystałam/łem,
Łucja Andrzejewska,18,17B,I,,nie korzystałam/łem,
Łucja Andrzejewska,18,17B,J,,ocena pozytywna,
Łucja Andrzejewska,18,17B,K,,nie korzystałam/łem,
Łucja Andrzejewska,18,17B,L,,nie korzystałam/łem,
Łucja Andrzejewska,18,18B,,,"Lepsze zarobki, bezpłatna edukacja dzieci, darmowe obiady w szkole. Artykuły dla dzieci mogłyby być tańsze, bo szybko wyrastają.",
Łucja Andrzejewska,18,19B,A,,,
Łucja Andrzejewska,18,19B,B,,,
Łucja Andrzejewska,18,19A,A,,,
Łucja Andrzejewska,18,20B,C,,,
Łucja Andrzejewska,18,21B,,,Nic nie przychodzi mi do głowy.,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Łucja Andrzejewska,,,
