Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Joanna Kasicka,16,1,A,,,
Joanna Kasicka,16,2,A,,,
Joanna Kasicka,16,3,A,,,
Joanna Kasicka,16,4A,B,,,
Joanna Kasicka,16,5A,B,,,
Joanna Kasicka,16,6A,B,,,
Joanna Kasicka,16,7A,A,,,
Joanna Kasicka,16,8A,F,,Zasiłki z MOPS oraz dodatek mieszkaniowy.,
Joanna Kasicka,16,9A,B,,,
Joanna Kasicka,16,10A,L,,,
Joanna Kasicka,16,11A,AFG,,,
Joanna Kasicka,16,12A,,,Bezsilność na poprawienie stanu zdrowia co skutkowałoby podniesieniem poziomu życia poprzez dodatkowe źródło dochodu.,
Joanna Kasicka,16,13A,D,,,
Joanna Kasicka,16,14A,,,Brak skutecznej terapii.,
Joanna Kasicka,16,15A,A,,Ocena pozytywna.,
Joanna Kasicka,16,15A,B,,Ocena pozytywna.,
Joanna Kasicka,16,15A,C,,Nie korzystałam.,
Joanna Kasicka,16,15A,D,,Nie korzystałam.,
Joanna Kasicka,16,15A,E,,Ocena pozytywna.,
Joanna Kasicka,16,15A,F,,Nie korzystałam.,
Joanna Kasicka,16,15A,G,,Ocena pozytywna.,
Joanna Kasicka,16,15A,H,,Nie korzystałam.,
Joanna Kasicka,16,15A,I,,Nie korzystałam.,
Joanna Kasicka,16,15A,J,,Nie korzystałam.,
Joanna Kasicka,16,15A,K,,Nie korzystałam.,
Joanna Kasicka,16,15A,L,,Nie korzystałam.,
Joanna Kasicka,16,15A,M,,,
Joanna Kasicka,16,16A,,,Skuteczne wyleczenie z choroby.,
Joanna Kasicka,16,17A,D,Kolejny raz opinia .,,
Joanna Kasicka,16,18A,C,,,
Joanna Kasicka,16,19A,A,,,
Joanna Kasicka,16,20A,,,Chciałabym dużo przede wszystkim wyzdrowieć móc podjąć pracę zarobkową.,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Joanna Kasicka,,,
