Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Maria Dobrowolska  - Krzysztoforska ,18,1,B,,,
Maria Dobrowolska  - Krzysztoforska ,18,2,A,,,
Maria Dobrowolska  - Krzysztoforska ,18,3,A,,,
Maria Dobrowolska  - Krzysztoforska ,18,4A,B,,,
Maria Dobrowolska  - Krzysztoforska ,18,5A,B,,,
Maria Dobrowolska  - Krzysztoforska ,18,6A,E,,,
Maria Dobrowolska  - Krzysztoforska ,18,7A,C,,,
Maria Dobrowolska  - Krzysztoforska ,18,8A,C,,,
Maria Dobrowolska  - Krzysztoforska ,18,9A,C,,,
Maria Dobrowolska  - Krzysztoforska ,18,10A,H,,,
Maria Dobrowolska  - Krzysztoforska ,18,11A,M,,,
Maria Dobrowolska  - Krzysztoforska ,18,12A,,,"zostałem oszukany i straciłem mieszkanie, a teraz sam się borykam z brakiem dachu nad głową i mieszkam w piwnicy u sąsiadów ",
Maria Dobrowolska  - Krzysztoforska ,18,13A,"E,F",,,
Maria Dobrowolska  - Krzysztoforska ,18,14A,,,"nie odzyskałem mieszkania, mimo iż zwracałem się do organów ścigania ",
Maria Dobrowolska  - Krzysztoforska ,18,15A,A,,NEGATYWNA ,
Maria Dobrowolska  - Krzysztoforska ,18,15A,B,,NEGATYWNA ,
Maria Dobrowolska  - Krzysztoforska ,18,15A,C,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,18,15A,D,,POZYTYWNA ,
Maria Dobrowolska  - Krzysztoforska ,18,15A,E,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,18,15A,F,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,18,15A,G,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,18,15A,H,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,18,15A,I,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,18,15A,J,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,18,15A,K,,POZYTYWNA ,
Maria Dobrowolska  - Krzysztoforska ,18,15A,L,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,18,16A,,,odzyskanie mieszkania lub pomoc w uzyskaniu mieszkania od Gminy Kraków ,
Maria Dobrowolska  - Krzysztoforska ,18,17A,D,,,
Maria Dobrowolska  - Krzysztoforska ,18,18A,C,,,
Maria Dobrowolska  - Krzysztoforska ,18,19A,B,,,
Maria Dobrowolska  - Krzysztoforska ,18,20A,,,"skuteczna interwencja i rzetelne zainteresowanie Policji, Prokuratury i Sądów, a także bezpłatna pomoc prawna w walce z oszustami reprezentowanymi przez prywatnych prawników. Ponadto wypowiadanie się prze przedstawicieli prawa, a także instytucji państwowych i organów językiem zrozumiałym dla osób starszych i nieznających przepisów prawa, a nie cytowanie w pismach wyłącznie ustaw i paragrafów, których człowiek nie zna znaczenia.",
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Maria Dobrowolska  - Krzysztoforska ,,,
