Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Maria Dobrowolska  - Krzysztoforska ,5,1,A,,,
Maria Dobrowolska  - Krzysztoforska ,5,2,A,,,
Maria Dobrowolska  - Krzysztoforska ,5,3,B,,,
Maria Dobrowolska  - Krzysztoforska ,5,4B,B,,,
Maria Dobrowolska  - Krzysztoforska ,5,5B,A,,,
Maria Dobrowolska  - Krzysztoforska ,5,6B,A - 4,,,
Maria Dobrowolska  - Krzysztoforska ,5,7B,B - 1,,,
Maria Dobrowolska  - Krzysztoforska ,5,8B,D,,,
Maria Dobrowolska  - Krzysztoforska ,5,9B,E,,,
Maria Dobrowolska  - Krzysztoforska ,5,10B,G,renta i świadczenie rodzinne ,,
Maria Dobrowolska  - Krzysztoforska ,5,11B,A,,,
Maria Dobrowolska  - Krzysztoforska ,5,12B,D,,,
Maria Dobrowolska  - Krzysztoforska ,5,13B,M,,,
Maria Dobrowolska  - Krzysztoforska ,5,14B,,,"sytuacja w rodzinie jest coraz trudniejsza. Nie starcza nam na podstawowe potrzeby życiowe, a mowy nie ma już o innych potrzebach, chociażby odpoczynek i rekreację. ",
Maria Dobrowolska  - Krzysztoforska ,5,15B,A,,,
Maria Dobrowolska  - Krzysztoforska ,5,16B,,,Ponieważ proponowane godziny pracy nie sprzyjały w połączeniu z opieką nad osobą niepełnosprawną w mojej rodzinie.,
Maria Dobrowolska  - Krzysztoforska ,5,17B,A,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,5,17B,B,,POZYTYWNA,
Maria Dobrowolska  - Krzysztoforska ,5,17B,C,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,5,17B,D,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,5,17B,E,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,5,17B,F,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,5,17B,G,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,5,17B,H,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,5,17B,I,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,5,17B,J,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,5,17B,K,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,5,17B,L,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,5,18B,,,aby Gmina Miasta Kraków nie podnosiła czynszów,
Maria Dobrowolska  - Krzysztoforska ,5,19B,"A,B,C,D",,,
Maria Dobrowolska  - Krzysztoforska ,5,19A,B,,,
Maria Dobrowolska  - Krzysztoforska ,5,20B,C,,,
Maria Dobrowolska  - Krzysztoforska ,5,21B,,,"aby Gmina Miasta Kraków, Prezydent Miasta i Rada Miasta Krakowa nie zadłużali mieszkańców podwyżkami czynszów, czym doprowadzą do eksmisji ludzi na bruk. Obecnie mieszkania komunalne są droższe od własnościowych, a stan ich jest wadliwy i pozostawia wiele do naprawy. ",
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Maria Dobrowolska  - Krzysztoforska ,,,
