Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Danuta Jabłonowska ,1,1,B,,,
Danuta Jabłonowska ,1,2,A,,,
Danuta Jabłonowska ,1,3,A,,,
Danuta Jabłonowska ,1,4A,B,,,
Danuta Jabłonowska ,1,5A,B,,,
Danuta Jabłonowska ,1,6A,B,,,
Danuta Jabłonowska ,1,7A,C,,,
Danuta Jabłonowska ,1,8A,F,,,
Danuta Jabłonowska ,1,9A,B,,,
Danuta Jabłonowska ,1,10A,B,,,
Danuta Jabłonowska ,1,11A,"A,F,J,K,L",,,
Danuta Jabłonowska ,1,12A,,,"przez chorobę pogorszyła się moja sytuacja ekonomiczna, gdyż nie mogę pracować i wskutek tego brakuje mi na podstawowe potrzeby ",
Danuta Jabłonowska ,1,13A,D ,,,
Danuta Jabłonowska ,1,14 A,,,"Brak możliwości leczenia z powodu długich kolejek do specjalistów, dlatego leczenie nie przyniosło pożądanego efektu odnośnie znacznej utarty słuchu",
Danuta Jabłonowska ,1,15 A,A,,POZYTYWNA,
Danuta Jabłonowska ,1,15 A,B,,POZYTYWNA,
Danuta Jabłonowska ,1,15 A,C,,NEGATYWNA ,
Danuta Jabłonowska ,1,15 A,D,,POZYTYWNA,
Danuta Jabłonowska ,1,15 A,E,,POZYTYWNA,
Danuta Jabłonowska ,1,15 A,F,,TRUDNO POWIEDZIEĆ ,
Danuta Jabłonowska ,1,15 A,G,,POZYTYWNA,
Danuta Jabłonowska ,1,15 A,H,,POZYTYWNA,
Danuta Jabłonowska ,1,15 A,I,,NIE KORZYSTAŁEM,
Danuta Jabłonowska ,1,15 A,J,,POZYTYWNA,
Danuta Jabłonowska ,1,15 A,K,,NEGATYWNA ,
Danuta Jabłonowska ,1,15 A,L,,TRUDNO POWIEDZIEĆ ,
Danuta Jabłonowska ,1,16A,,,Poprawa stanu zdrowia i możliwość otrzymania pracy oraz większe zainteresowanie instytucji społecznych.,
Danuta Jabłonowska ,1,17A,D,,,
Danuta Jabłonowska ,1,18A,A,,,
Danuta Jabłonowska ,1,19A,F,,,
Danuta Jabłonowska ,1,20A,,,"Chciałabym, aby ludzie sięgali po pomoc instytucji, a nie ukrywali tego, że nie mogą godzenie żyć. Żeby było więcej instytucji pomocowych dla osób starszych ",
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Danuta Jabłonowska ,,,
