Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Grażyna Konieczna,6,1,B,,,
Grażyna Konieczna,6,2,A,,,
Grażyna Konieczna,6,3,B,,,
Grażyna Konieczna,6,4B,B,,,
Grażyna Konieczna,6,5B,A,,,
Grażyna Konieczna,6,6B,A,,,
Grażyna Konieczna,6,7B,B,,,
Grażyna Konieczna,6,8B,B,,,
Grażyna Konieczna,6,9B,B,,,
Grażyna Konieczna,6,10B,A,,,
Grażyna Konieczna,6,11B,A,,,
Grażyna Konieczna,6,12B,A,,,
Grażyna Konieczna,6,13B,"A, I, J, L",,,
Grażyna Konieczna,6,14B,,,"Brak pieniędzy na zapewnienie dzieciom wszystkiego co potrzeba. Ciągła obawa, że nie starczy na rachunki.",
Grażyna Konieczna,6,15B,"A, C, E, F",,,
Grażyna Konieczna,6,16B,,,To jest pomoc doraźna i nie rozwiązuje problemu.,
Grażyna Konieczna,6,17B,"A, D,E,J",Ocena pozytywna,,
Grażyna Konieczna,6,18B,,,Lepiej płatna praca i zasiłki na dzieci. I żeby nie było takiej inflacji,
Grażyna Konieczna,6,19B,"A, B",,,
Grażyna Konieczna,6,20B,A,,,
Grażyna Konieczna,6,21B,A,,"Jak nie zadbamy o dzieci, to będzie coraz gorzej. Fajnym pomysłem są lodówki społeczne i jadłodzielnie. Warto zaglądać, ty;lko jest ich zbyt mało. No i teraz wszystko zabierają Ukrainki, a dla Polaków nic nie ma.",
Imię i nazwisko osoby wprowadzającej dane:,,,Grażyna Konieczna,,,
