Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Grażyna Konieczna,17,1,b,,,
Grażyna Konieczna,17,2,a,,,
Grażyna Konieczna,17,3,a,    ,,
Grażyna Konieczna,17,4A,b,,,
Grażyna Konieczna,17,5A,b, ,,
Grażyna Konieczna,17,6A,b, ,,
Grażyna Konieczna,17,7A,f, ,,
Grażyna Konieczna,17,8A,a,,,
Grażyna Konieczna,17,9A,b,,,
Grażyna Konieczna,17,10A,a,    ,,
Grażyna Konieczna,17,11A,m, ,,
Grażyna Konieczna,17,12A,  ,,Nie mam swojego mieszkania,
Grażyna Konieczna,17,13A,a, ,,
Grażyna Konieczna,17,14A,    ,przez pandemię,   ,
Grażyna Konieczna,17,15A,"a,g",ocena pozytywna,,
Grażyna Konieczna,17,16A,,,Lepiej płatna praca,
Grażyna Konieczna,17,17A,c,    ,,
Grażyna Konieczna,17,18A,c,    ,,
Grażyna Konieczna,17,19A,a,,,
Grażyna Konieczna,17,20A,  ,,Okazywać szacunek dla obcokrajowców również tych biednych,
,,,,,,
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Grażyna Konieczna,,,
