Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Hanna Maciejewska,15,1,A,,,
Hanna Maciejewska,15,2,A,,,
Hanna Maciejewska,15,3,A,,,
Hanna Maciejewska,15,4A,B,,,
Hanna Maciejewska,15,5A,D,,,
Hanna Maciejewska,15,6A,A,,,
Hanna Maciejewska,15,7A,G,,,
Hanna Maciejewska,15,8A,A,,,
Hanna Maciejewska,15,9A,K-A,,,
Hanna Maciejewska,15,10A,E,,,
Hanna Maciejewska,15,11A,"A,C,E,F,I,J,K,L",,,
Hanna Maciejewska,15,12A,,,ciągłe długi i konieczność proszenia o pomoc,
Hanna Maciejewska,15,13A,"A,D,E,G",,,
Hanna Maciejewska,15,14A,,,"Bo dopiero niedawno skończyłam leczenie i poszłam do pracy,  zaczynam żyć na nowo",
Hanna Maciejewska,15,15A,A,,Ocena pozytywna,
Hanna Maciejewska,15,15A,B,,Nie korzystałam/łem,
Hanna Maciejewska,15,15A,C,,Nie korzystałam/łem,
Hanna Maciejewska,15,15A,D,,Nie korzystałam/łem,
Hanna Maciejewska,15,15A,E,,Ocena pozytywna,
Hanna Maciejewska,15,15A,F,,Ocena pozytywna,
Hanna Maciejewska,15,15A,G,,Ocena pozytywna,
Hanna Maciejewska,15,15A,H,,Nie korzystałam/łem,
Hanna Maciejewska,15,15A,I,,Nie korzystałam/łem,
Hanna Maciejewska,15,15A,J,,Nie korzystałam/łem,
Hanna Maciejewska,15,15A,K,,Nie korzystałam/łem,
Hanna Maciejewska,15,15A,L,,,
Hanna Maciejewska,15,16A,,,Pomoc mieszkaniowa po ośrodku,
Hanna Maciejewska,15,17A,"A,B,C,D,E",,,
Hanna Maciejewska,15,18A,C,,,
Hanna Maciejewska,15,19A,F,,,
Hanna Maciejewska,15,20A,,,nie,
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Hanna Maciejewska,,,
