Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Agnieszka Małaszek,04,1,A,,,
Agnieszka Małaszek,04,2,A,,,
Agnieszka Małaszek,04,3,B,,,
Agnieszka Małaszek,04,4B,B,,,
Agnieszka Małaszek,04,5B,B,,,
Agnieszka Małaszek,04,6B,4,,,
Agnieszka Małaszek,04,7B,B 1,,LICZBA OSÓB PONIŻEJ 18 ROKU ŻYCIA 1 ,
Agnieszka Małaszek,04,8B,D,,,
Agnieszka Małaszek,04,9B,A,,,
Agnieszka Małaszek,04,10B,D,,,
Agnieszka Małaszek,04,11B,B,,,
Agnieszka Małaszek,04,12B,M,,,
Agnieszka Małaszek,04,13B,"A,C,F,J",,,
Agnieszka Małaszek,04,14B,,,"Drożyzna, coś okropnego jak się idzie do sklepu. Prąd drogi.",
Agnieszka Małaszek,04,15B,A,,Szukanie pracy przez jednego z synów,
Agnieszka Małaszek,04,16B,,,"Wiele chorób, nowych i starych praktycznie każdego domownika",
Agnieszka Małaszek,04,17B,A,,Ocena pozytywna,
Agnieszka Małaszek,04,17B,B,,Trudno powiedzieć,
Agnieszka Małaszek,04,17B,C,,Nie korzyształam/łem,
Agnieszka Małaszek,04,17B,D,,Ocena pozytywna,
Agnieszka Małaszek,04,17B,E,,Ocena pozytywna,
Agnieszka Małaszek,04,17B,F,,Nie korzyształam/łem,
Agnieszka Małaszek,04,17B,G,,Ocena pozytywna,
Agnieszka Małaszek,04,17B,H,,Nie korzyształam/łem,
Agnieszka Małaszek,04,17B,I,,Nie korzyształam/łem,
Agnieszka Małaszek,04,17B,J,,Nie korzyształam/łem,
Agnieszka Małaszek,04,17B,K,,Nie korzyształam/łem,
Agnieszka Małaszek,04,17B,L,,Nie korzyształam/łem,
Agnieszka Małaszek,04,18B,,,"Wyzdrowienie, mniej chorób, bo tak to można było więcej pracować. Fundusze nie szłyby na lekarstwa. Tańsze jedzenie",
Agnieszka Małaszek,04,19B,G,,Nie znam takich osób,
Agnieszka Małaszek,04,19A,F,,,
Agnieszka Małaszek,04,20B,C,,,
Agnieszka Małaszek,04,21B,,,Nie ,
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,AGNIESZKA MAŁASZEK,,,
