Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Alicja Małaszek,18,1,A,,,
Alicja Małaszek,18,2,A,,,
Alicja Małaszek,18,3,B,,,
Alicja Małaszek,18,4B,B,,,
Alicja Małaszek,18,5B,B,,,
Alicja Małaszek,18,6B,2,,,
Alicja Małaszek,18,7B,B,,LICZBA OSÓB PONIŻEJ 18 ROKU ŻYCIA 1,
Alicja Małaszek,18,8B,A,,,
Alicja Małaszek,18,9B,A,,,
Alicja Małaszek,18,10B,A,,,
Alicja Małaszek,18,11B,A,,,
Alicja Małaszek,18,12B,I,,,
Alicja Małaszek,18,13B,"A,C,D,F",,,
Alicja Małaszek,18,14B,,,Rezygnacja z dodatkowych przyjemności kupowanie tego co trzeba,
Alicja Małaszek,18,15B,A,,,
Alicja Małaszek,18,16B,,,"Ponieważ jest duża inflacja i więcej wydaje się pieniędzy. Wypłaty nie rosną, a ceny np. żywności ciągle idą w górę.",
Alicja Małaszek,18,17B,A,,Nie korzyształam/łem,
Alicja Małaszek,18,17B,B,,Ocena pozytywna,
Alicja Małaszek,18,17B,C,,Nie korzyształam/łem,
Alicja Małaszek,18,17B,D,,Ocena pozytywna,
Alicja Małaszek,18,17B,E,,Ocena pozytywna,
Alicja Małaszek,18,17B,F,,Nie korzyształam/łem,
Alicja Małaszek,18,17B,G,,Ocena pozytywna,
Alicja Małaszek,18,17B,H,,Nie korzyształam/łem,
Alicja Małaszek,18,17B,I,,Nie korzyształam/łem,
Alicja Małaszek,18,17B,J,,Ocena pozytywna,
Alicja Małaszek,18,17B,K,,Nie korzyształam/łem,
Alicja Małaszek,18,17B,L,,Nie korzyształam/łem,
Alicja Małaszek,18,18B,,,"Zatrzymanie szybko rosnącej inflacji. Znalezienie pracy, którą można połączyć z innymi obowiązkami.",
Alicja Małaszek,18,19B,G,,"Nie , nie znam",
Alicja Małaszek,18,19A,D,,,
Alicja Małaszek,18,20B,C,,,
Alicja Małaszek,18,21B,,,Żeby dobrze dysponowali swoi mi pieniędzmi,
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,ALICJA MAŁASZEK,,,
