Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Alicja Małaszek,09,1,B,,,
Alicja Małaszek,09,2,A,,,
Alicja Małaszek,09,3,A,,,
Alicja Małaszek,09,4A,B,,,
Alicja Małaszek,09,5A,B,,,
Alicja Małaszek,09,6A,B,,,
Alicja Małaszek,09,7A,D,,,
Alicja Małaszek,09,8A,C,,,
Alicja Małaszek,09,9A,C,,,
Alicja Małaszek,09,10A,R,,,
Alicja Małaszek,09,11A,"A,C,D,E,F,G",,,
Alicja Małaszek,09,12A,,,"Przede wszystkim wiek, stan zdrowia i kiepska sprawność fizyczna",
Alicja Małaszek,09,13A,"E,F",,,
Alicja Małaszek,09,14A,,,"Ograniczenia ze względu na wiek. Otrzymywałem oferty pracy dorywczej, ale jak zobaczyli PESEL to jednak odmawiano współpracy",
Alicja Małaszek,09,15A,A,,Ocena pozytywna,
Alicja Małaszek,09,15A,B,,Nie korzystałam/łem,
Alicja Małaszek,09,15A,C,,Nie korzystałam/łem,
Alicja Małaszek,09,15A,D,,Ocena pozytywna,
Alicja Małaszek,09,15A,E,,Ocena pozytywna,
Alicja Małaszek,09,15A,F,,Nie korzystałam/łem,
Alicja Małaszek,09,15A,G,,Nie korzystałam/łem,
Alicja Małaszek,09,15A,H,,Nie korzystałam/łem,
Alicja Małaszek,09,15A,I,,Nie korzystałam/łem,
Alicja Małaszek,09,15A,J,,Nie korzystałam/łem,
Alicja Małaszek,09,15A,K,,Nie korzystałam/łem,
Alicja Małaszek,09,15A,L,,Nie korzystałam/łem,
Alicja Małaszek,09,16A,,,Poprawa stanu zdrowia,
Alicja Małaszek,09,17A,E,,,
Alicja Małaszek,09,18A,C,,,
Alicja Małaszek,09,19A,F,,,
Alicja Małaszek,09,20A,,,Potrzeba jest lepsza informacja i możliwym wsparciu,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,ALICJA MAŁASZEK,,,
