Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Magdalena Czarnik-Zębala,14,1,B,,,
Magdalena Czarnik-Zębala,14,2,A,,,
Magdalena Czarnik-Zębala,14,3,A,,,
Magdalena Czarnik-Zębala,14,4A,B,,,
Magdalena Czarnik-Zębala,14,5A,A,,,
Magdalena Czarnik-Zębala,14,6A,B,,,
Magdalena Czarnik-Zębala,14,7A,A,schizofrenia,,
Magdalena Czarnik-Zębala,14,7A,H,bezdomność,,
Magdalena Czarnik-Zębala,14,8A,F,,,
Magdalena Czarnik-Zębala,14,9A,A,MĘŻCZYZNA,,
Magdalena Czarnik-Zębala,14,10A,J,,,
Magdalena Czarnik-Zębala,14,11A,D,,,
Magdalena Czarnik-Zębala,14,12A,,,Że nie mam dachu nad głową mimo tak młodego wieku (34 lata)Rodzice zmarli i zostałem bezdomny,
Magdalena Czarnik-Zębala,14,13A,A,,,
Magdalena Czarnik-Zębala,14,13A,D,,,
Magdalena Czarnik-Zębala,14,14A,,,Jestem chory i jak leki przestaja działać to kończe prace i wracam do MOPS-u (o pomoc),
Magdalena Czarnik-Zębala,14,15A,A,,Ocena pozytywna,
Magdalena Czarnik-Zębala,14,15A,B,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,14,15A,C,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,14,15A,D,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,14,15A,E,,Ocena pozytywna,
Magdalena Czarnik-Zębala,14,15A,F,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,14,15A,G,,Ocena pozytywna,
Magdalena Czarnik-Zębala,14,15A,H,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,14,15A,I,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,14,15A,J,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,14,15A,K,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,14,15A,L,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,14,16A,,,Gdybym w końcu był zdrowy-byłoby wszystko inaczej…,
Magdalena Czarnik-Zębala,14,17A,G,Tak zanm. Nie wiem dlaczego nie korzystają,,
Magdalena Czarnik-Zębala,14,18A,C,,,
Magdalena Czarnik-Zębala,14,19A,F,,,
Magdalena Czarnik-Zębala,14,20A,,,Nie umiem sobie sam pomóc- więc tym bardziej innym,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Magdalena Czarnik-Zębala,,,
